code_cours,type_cours,date_only,heure,jour_semaine,code_civilité,groupe_eleve,code_eleve
XA1S705C,TD,2025-11-18,08:00:00,mardi,DaMS4,G2,22407586
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G2,22407586
XA1S705C,TP,2025-12-03,08:00:00,mercredi,DaMS4,G2,22407586
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22414467
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22414826
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22100944
XA1S705C,TD,2025-11-18,08:00:00,mardi,DaMS4,G2,22206722
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22206118
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G1,22206118
XAIG900C,TD,2025-11-19,08:00:00,mercredi,DaMS5,Opt1,22103475
XAIG910C,CM/CMTD,2025-11-19,14:00:00,mercredi,DaMS5,,22103475
XAIG900C,TD,2025-11-21,14:00:00,vendredi,DaMS5,Opt1,22103475
XAIG900C,CMTD,2025-09-19,11:30:00,vendredi,DaMS5,Opt2,22103721
XAIG924C,CM,2025-09-29,14:00:00,lundi,DaMS5,,22103721
XAIG924C,CM,2025-09-29,15:45:00,lundi,DaMS5,,22103721
XAIG900C,CMTD,2025-10-01,09:45:00,mercredi,DaMS5,Opt2,22103721
XAIG924C,CM,2025-10-13,14:00:00,lundi,DaMS5,,22103721
XAIG924C,CM,2025-10-13,15:45:00,lundi,DaMS5,,22103721
XAIG915C,CMTD,2025-10-15,08:00:00,mercredi,DaMS5,Opt2,22103721
XAIG94C,CM/CMTD,2025-10-20,08:00:00,lundi,DaMS5,,22103721
